Plaats;Inwoners;Budget;BudgetPerInwoner;MisdrijvenPer1000
Aa en Hunze;25674;214;8,335280829;31.5
Aalburg;12649,5;136;10,7514131;37.1
Aalsmeer;29688;686;23,10697925;48.2
Aalten;27469,5;1277;46,48792297;32.9
Abcoude;8777,5;141,725;16,14639704;62.6
Achtkarspelen;28105,5;374;13,30700397;33.3
Alblasserdam;19111;508;26,58154989;41.4
Albrandswaard;24432,5;416;17,02650159;42.8
Alkmaar;93898,5;3697;39,37230094;102.0
Almelo;72600,5;969;13,34701552;69.0
Almere;189407,5;8393;44,31186727;74.0
Alphen aan den Rijn;72607;1473;20,28730012;64.1
Alphen-Chaam;9451;112;11,85059782;44.0
Ameland;3502;102;29,12621359;62.3
Amersfoort;145727;3652;25,06055844;77.0
Amstelveen;81245,5;1211;14,90544092;65.3
Amsterdam;773632,5;83512;107,9478952;130.5
Andijk;6511;161;24,72738443;47.8
Anna Paulowna;14247;401;28,14627641;37.7
Apeldoorn;155962,5;4554;29,19932676;75.0
Appingedam;12061;218;18,0747865;50.0
Arnhem;147544;2462;16,68654774;114.0
Assen;67017;1317;19,65173016;80.1
Asten;16315,5;549;33,64898409;51.9
Baarle-Nassau;6703,5;228;34,01208324;43.0
Baarn;24348;296;12,15705602;64.1
Barendrecht;46640;1042;22,34133791;50.7
Barneveld;52758;892;16,90738845;49.7
Bedum;10471;143;13,65676631;31.4
Beek (L.);16563,5;312;18,83659854;77.6
Beemster;8578,5;215;25,06265664;43.6
Beesel;13873;168;12,10985367;49.7
Bellingwedde;9331,5;16;1,714622515;35.5
Bergambacht;9765;107;10,95750128;35.3
Bergeijk;18067;88;4,870758842;50.7
Bergen (L.);13370,5;347;25,95265697;45.9
Bergen (NH.);30926,5;868;28,06654487;52.0
Bergen op Zoom;65959,5;3281;49,74264511;79.6
Berkelland;44920,5;751;16,71842477;40.6
Bernheze;29691,5;303;10,20494081;41.5
Bernisse;12429,5;480;38,61780442;32.3
Best;28881,5;768;26,59141665;64.1
Beuningen;25494;451;17,69043697;56.4
Beverwijk;39106;1201;30,71139979;89.9
Binnenmaas;28946,5;475;16,4095832;26.4
Bladel;19281,5;673;34,90392345;59.5
Blaricum;8957;320;35,72624763;36.9
Bloemendaal;22031;403;18,29240615;47.9
Boarnsterhim;19327,5;234;12,10710128;63.3
Bodegraven;19439,5;431;22,17135214;65.7
Boekel;9818,5;22;2,240668126;36.3
Bolsward;9939,5;80;8,048694602;58.8
Borger-Odoorn;26006,5;297;11,42022187;33.5
Borne;21443,5;458;21,35845361;25.4
Borsele;22662,5;221;9,751792609;51.4
Boskoop;15067,5;418;27,74182844;31.6
Boxmeer;28578,5;1213;42,44449499;33.9
Boxtel;30278;357;11,79073915;25.8
Breda;173949;16167,592;92,94443774;53.1
Breukelen;14675;1026;69,91482112;45.4
Brielle;15868,5;968;61,00135489;66.0
Bronckhorst;37714;56;1,484859734;95.7
Brummen;21179;367;17,32848576;97.1
Brunssum;29411,5;489;16,62614964;52.9
Bunnik;14448;744;51,49501661;31.0
Bunschoten;20055,5;356;17,75074169;54.5
Buren;25950;519;20;70.1
Bussum;32261;327;10,13607762;52.8
Capelle aan den IJssel;65724,5;4228;64,32913145;39.0
Castricum;34622,5;590;17,04094158;33.2
Coevorden;36094;935;25,90458248;86.9
Cranendonck;20357;424;20,82821634;68.3
Cromstrijen;12803,5;231;18,04194166;57.8
Cuijk;24506,5;585;23,87121784;54.3
Culemborg;27542,5;1646;59,76218571;46.4
Dalfsen;27286;460;16,85846222;38.1
Dantumadiel;19296,5;293;15,18410074;55.3
De Bilt;42033;950;22,60128946;86.0
De Marne;10514;67;6,372455773;24.4
De Ronde Venen;34306,5;851;24,80579482;20.4
De Wolden;23606,5;95;4,024315337;89.7
Delft;97225;2634;27,09179738;56.1
