Municipality,Year,Population,Crime,Finance
Aa en Hunze,2014,25357,680,220
Aalburg,2014,12846,425,109
Aalsmeer,2014,30759,1210,554
Aalten,2014,27013,685,253
Achtkarspelen,2014,28016,770,375
Alblasserdam,2014,19801,765,235
Albrandswaard,2014,25069,1050,308
Alkmaar,2014,94866,7860,4294
Almelo,2014,72459,4495,731
Almere,2014,196013,13385,9387
Alphen aan den Rijn,2014,106785,4790,3479
Alphen-Chaam,2014,9717,430,198
Ameland,2014,3578,145,21
Amersfoort,2014,150897,9385,3596
Amstelveen,2014,85015,4230,2283
Amsterdam,2014,810937,96475,86896
Anna Paulowna,2014,0,0,
Apeldoorn,2014,157545,10165,5007
Appingedam,2014,12064,500,140
Arnhem,2014,150823,13910,3532
Assen,2014,67190,4130,1184
Asten,2014,16440,900,711
Baarle-Nassau,2014,6612,335,260
Baarn,2014,24314,1280,368
Barendrecht,2014,47377,1975,975
Barneveld,2014,54152,2215,208
Bedum,2014,10494,265,116
Beek (L.),2014,16271,1060,394
Beemster,2014,8910,265,263
Beesel,2014,13617,475,190
Bellingwedde,2014,8920,225,139
Berg en Dal,2014,0,0,
Bergambacht,2014,9970,260,78
Bergeijk,2014,18256,675,339
Bergen (L.),2014,13237,495,241
Bergen (NH.),2014,30076,1255,1053
Bergen op Zoom,2014,66419,4240,2696
Berkelland,2014,44666,1305,134
Bernheze,2014,29690,1170,594
Bernisse,2014,12368,380,0
Best,2014,28617,1540,1200
Beuningen,2014,25288,1030,365
Beverwijk,2014,40093,3025,1145
het Bildt,2014,10626,235,169
De Bilt,2014,42036,1825,578
Binnenmaas,2014,28710,830,539
Bladel,2014,19834,775,463
Blaricum,2014,9094,495,337
Bloemendaal,2014,22059,1255,462
Boarnsterhim,2014,0,0,
Bodegraven-Reeuwijk,2014,32910,1470,417
Boekel,2014,10089,330,45
Ten Boer,2014,7479,155,20
Borger-Odoorn,2014,25627,690,289
Borne,2014,21884,720,303
Borsele,2014,22579,510,291
Boskoop,2014,0,0,
Boxmeer,2014,28147,1120,1339
Boxtel,2014,30320,1485,406
Breda,2014,179623,14420,0
Brielle,2014,16312,750,450
Bronckhorst,2014,36932,970,71
Brummen,2014,21177,765,317
Brunssum,2014,28958,1940,776
Bunnik,2014,14626,680,154
Bunschoten,2014,20492,660,362
Buren,2014,26019,865,1943
Bussum,2014,32631,1985,329
Capelle aan den IJssel,2014,66178,3770,3649
Castricum,2014,34288,1505,634
Coevorden,2014,35769,1665,302
Cranendonck,2014,20344,925,706
Cromstrijen,2014,12738,400,251
Cuijk,2014,24783,1105,1866
Culemborg,2014,27590,1815,825
Dalfsen,2014,27674,545,445
Dantumadiel,2014,19030,430,440
Delft,2014,100046,7190,1160
Delfzijl,2014,25698,1010,415
Deurne,2014,31659,1500,685
Deventer,2014,98322,6485,1977
Diemen,2014,25930,1710,0
Dinkelland,2014,25947,535,817
Dirksland,2014,0,0,
Doesburg,2014,11437,495,291
Doetinchem,2014,56344,2875,705
Dongen,2014,25358,1705,457
Dongeradeel,2014,24160,800,412
Dordrecht,2014,118691,8825,4552
Drechterland,2014,19250,595,383
Drimmelen,2014,26695,935,804
Dronten,2014,40413,1985,978
